procID,event_type,cs_clock,real_clock,human_date,anomaly
44,ACCESS,217,1688295488,2023-07-02 10:58:08,False
44,LEAVE,218,1688295491,2023-07-02 10:58:11,False
52,ACCESS,219,1688295493,2023-07-02 10:58:13,False
52,LEAVE,220,1688295496,2023-07-02 10:58:16,False
57,ACCESS,221,1688295497,2023-07-02 10:58:17,False
57,LEAVE,222,1688295500,2023-07-02 10:58:20,False
3,ACCESS,223,1688295502,2023-07-02 10:58:22,False
3,LEAVE,224,1688295505,2023-07-02 10:58:25,False
93,ACCESS,225,1688295507,2023-07-02 10:58:27,False
93,LEAVE,226,1688295510,2023-07-02 10:58:30,False
97,ACCESS,227,1688295512,2023-07-02 10:58:32,False
97,LEAVE,228,1688295515,2023-07-02 10:58:35,False
53,ACCESS,229,1688295516,2023-07-02 10:58:36,False
53,LEAVE,230,1688295519,2023-07-02 10:58:39,False
54,ACCESS,231,1688295521,2023-07-02 10:58:41,False
54,LEAVE,232,1688295524,2023-07-02 10:58:44,False
16,ACCESS,233,1688295525,2023-07-02 10:58:45,False
16,LEAVE,234,1688295528,2023-07-02 10:58:48,False
75,ACCESS,235,1688295530,2023-07-02 10:58:50,False
75,LEAVE,236,1688295533,2023-07-02 10:58:53,False
22,ACCESS,237,1688295534,2023-07-02 10:58:54,False
22,LEAVE,238,1688295537,2023-07-02 10:58:57,False
17,ACCESS,239,1688295538,2023-07-02 10:58:58,False
17,LEAVE,240,1688295541,2023-07-02 10:59:01,False
21,ACCESS,241,1688295544,2023-07-02 10:59:04,False
21,LEAVE,242,1688295547,2023-07-02 10:59:07,False
90,ACCESS,243,1688295548,2023-07-02 10:59:08,False
90,LEAVE,244,1688295551,2023-07-02 10:59:11,False
14,ACCESS,245,1688295552,2023-07-02 10:59:12,False
14,LEAVE,246,1688295555,2023-07-02 10:59:15,False
38,ACCESS,247,1688295556,2023-07-02 10:59:16,False
38,LEAVE,248,1688295560,2023-07-02 10:59:20,False
25,ACCESS,249,1688295561,2023-07-02 10:59:21,False
25,LEAVE,250,1688295564,2023-07-02 10:59:24,False
98,ACCESS,251,1688295565,2023-07-02 10:59:25,False
98,LEAVE,252,1688295568,2023-07-02 10:59:28,False
39,ACCESS,253,1688295570,2023-07-02 10:59:30,False
39,LEAVE,254,1688295573,2023-07-02 10:59:33,False
86,ACCESS,255,1688295575,2023-07-02 10:59:35,False
86,LEAVE,256,1688295578,2023-07-02 10:59:38,False
84,ACCESS,257,1688295580,2023-07-02 10:59:40,False
84,LEAVE,258,1688295583,2023-07-02 10:59:43,False
28,ACCESS,259,1688295585,2023-07-02 10:59:45,False
28,LEAVE,260,1688295588,2023-07-02 10:59:48,False
70,ACCESS,261,1688295589,2023-07-02 10:59:49,False
70,LEAVE,262,1688295592,2023-07-02 10:59:52,False
1,ACCESS,263,1688295593,2023-07-02 10:59:53,False
1,LEAVE,264,1688295596,2023-07-02 10:59:56,False
79,ACCESS,265,1688295598,2023-07-02 10:59:58,False
79,LEAVE,266,1688295601,2023-07-02 11:00:01,False
33,ACCESS,267,1688295603,2023-07-02 11:00:03,False
33,LEAVE,268,1688295606,2023-07-02 11:00:06,False
31,ACCESS,269,1688295607,2023-07-02 11:00:07,False
31,LEAVE,270,1688295610,2023-07-02 11:00:10,False
62,ACCESS,271,1688295612,2023-07-02 11:00:12,False
62,LEAVE,272,1688295615,2023-07-02 11:00:15,False
13,ACCESS,273,1688295616,2023-07-02 11:00:16,False
13,LEAVE,274,1688295619,2023-07-02 11:00:19,False
34,ACCESS,275,1688295621,2023-07-02 11:00:21,False
34,LEAVE,276,1688295624,2023-07-02 11:00:24,False
92,ACCESS,277,1688295626,2023-07-02 11:00:26,False
92,LEAVE,278,1688295629,2023-07-02 11:00:29,False
49,ACCESS,279,1688295630,2023-07-02 11:00:30,False
49,LEAVE,280,1688295633,2023-07-02 11:00:33,False
36,ACCESS,281,1688295637,2023-07-02 11:00:37,False
36,LEAVE,282,1688295640,2023-07-02 11:00:40,False
60,ACCESS,283,1688295641,2023-07-02 11:00:41,False
60,LEAVE,284,1688295644,2023-07-02 11:00:44,False
96,ACCESS,285,1688295646,2023-07-02 11:00:46,False
96,LEAVE,286,1688295649,2023-07-02 11:00:49,False
50,ACCESS,287,1688295650,2023-07-02 11:00:50,False
50,LEAVE,288,1688295653,2023-07-02 11:00:53,False
29,ACCESS,289,1688295655,2023-07-02 11:00:55,False
29,LEAVE,290,1688295658,2023-07-02 11:00:58,False
48,ACCESS,291,1688295659,2023-07-02 11:00:59,False
48,LEAVE,292,1688295662,2023-07-02 11:01:02,False
12,ACCESS,293,1688295664,2023-07-02 11:01:04,False
12,LEAVE,294,1688295667,2023-07-02 11:01:07,False
23,ACCESS,295,1688295669,2023-07-02 11:01:09,False
23,LEAVE,296,1688295672,2023-07-02 11:01:12,False
81,ACCESS,297,1688295673,2023-07-02 11:01:13,False
81,LEAVE,298,1688295676,2023-07-02 11:01:16,False
95,ACCESS,299,1688295678,2023-07-02 11:01:18,False
95,LEAVE,300,1688295681,2023-07-02 11:01:21,False
32,ACCESS,301,1688295682,2023-07-02 11:01:22,False
32,LEAVE,302,1688295685,2023-07-02 11:01:25,False
69,ACCESS,303,1688295687,2023-07-02 11:01:27,False
69,LEAVE,304,1688295690,2023-07-02 11:01:30,False
9,ACCESS,305,1688295692,2023-07-02 11:01:32,False
9,LEAVE,306,1688295695,2023-07-02 11:01:35,False
5,ACCESS,307,1688295696,2023-07-02 11:01:36,False
5,LEAVE,308,1688295699,2023-07-02 11:01:39,False
72,ACCESS,309,1688295700,2023-07-02 11:01:40,False
72,LEAVE,310,1688295703,2023-07-02 11:01:43,False
66,ACCESS,311,1688295707,2023-07-02 11:01:47,False
66,LEAVE,312,1688295710,2023-07-02 11:01:50,False
46,ACCESS,313,1688295712,2023-07-02 11:01:52,False
46,LEAVE,314,1688295715,2023-07-02 11:01:55,False
2,ACCESS,315,1688295717,2023-07-02 11:01:57,False
2,LEAVE,316,1688295720,2023-07-02 11:02:00,False
71,ACCESS,317,1688295721,2023-07-02 11:02:01,False
71,LEAVE,318,1688295724,2023-07-02 11:02:04,False
99,ACCESS,319,1688295725,2023-07-02 11:02:05,False
99,LEAVE,320,1688295728,2023-07-02 11:02:08,False
19,ACCESS,321,1688295730,2023-07-02 11:02:10,False
19,LEAVE,322,1688295733,2023-07-02 11:02:13,False
80,ACCESS,323,1688295735,2023-07-02 11:02:15,False
80,LEAVE,324,1688295738,2023-07-02 11:02:18,False
6,ACCESS,325,1688295740,2023-07-02 11:02:20,False
6,LEAVE,326,1688295743,2023-07-02 11:02:23,False
58,ACCESS,327,1688295745,2023-07-02 11:02:25,False
58,LEAVE,328,1688295748,2023-07-02 11:02:28,False
85,ACCESS,329,1688295749,2023-07-02 11:02:29,False
85,LEAVE,330,1688295752,2023-07-02 11:02:32,False
43,ACCESS,331,1688295754,2023-07-02 11:02:34,False
43,LEAVE,332,1688295757,2023-07-02 11:02:37,False
47,ACCESS,333,1688295759,2023-07-02 11:02:39,False
47,LEAVE,334,1688295762,2023-07-02 11:02:42,False
8,ACCESS,335,1688295764,2023-07-02 11:02:44,False
8,LEAVE,336,1688295767,2023-07-02 11:02:47,False
74,ACCESS,337,1688295768,2023-07-02 11:02:48,False
74,LEAVE,338,1688295771,2023-07-02 11:02:51,False
35,ACCESS,339,1688295773,2023-07-02 11:02:53,False
35,LEAVE,340,1688295776,2023-07-02 11:02:56,False
11,ACCESS,341,1688295777,2023-07-02 11:02:57,False
11,LEAVE,342,1688295780,2023-07-02 11:03:00,False
24,ACCESS,343,1688295782,2023-07-02 11:03:02,False
24,LEAVE,344,1688295785,2023-07-02 11:03:05,False
65,ACCESS,345,1688295786,2023-07-02 11:03:06,False
65,LEAVE,346,1688295789,2023-07-02 11:03:09,False
45,ACCESS,347,1688295790,2023-07-02 11:03:10,False
45,LEAVE,348,1688295793,2023-07-02 11:03:13,False
30,ACCESS,349,1688295795,2023-07-02 11:03:15,False
30,LEAVE,350,1688295798,2023-07-02 11:03:18,False
51,ACCESS,351,1688295799,2023-07-02 11:03:19,False
51,LEAVE,352,1688295803,2023-07-02 11:03:23,False
77,ACCESS,353,1688295805,2023-07-02 11:03:25,False
77,LEAVE,354,1688295808,2023-07-02 11:03:28,False
55,ACCESS,355,1688295809,2023-07-02 11:03:29,False
55,LEAVE,356,1688295812,2023-07-02 11:03:32,False
61,ACCESS,357,1688295814,2023-07-02 11:03:34,False
61,LEAVE,358,1688295817,2023-07-02 11:03:37,False
100,ACCESS,359,1688295819,2023-07-02 11:03:39,False
100,LEAVE,360,1688295822,2023-07-02 11:03:42,False
10,ACCESS,361,1688295824,2023-07-02 11:03:44,False
10,LEAVE,362,1688295827,2023-07-02 11:03:47,False
4,ACCESS,363,1688295829,2023-07-02 11:03:49,False
4,LEAVE,364,1688295832,2023-07-02 11:03:52,False
37,ACCESS,365,1688295833,2023-07-02 11:03:53,False
37,LEAVE,366,1688295836,2023-07-02 11:03:56,False
76,ACCESS,367,1688295838,2023-07-02 11:03:58,False
76,LEAVE,368,1688295841,2023-07-02 11:04:01,False
26,ACCESS,369,1688295843,2023-07-02 11:04:03,False
26,LEAVE,370,1688295846,2023-07-02 11:04:06,False
82,ACCESS,371,1688295847,2023-07-02 11:04:07,False
82,LEAVE,372,1688295850,2023-07-02 11:04:10,False
73,ACCESS,373,1688295852,2023-07-02 11:04:12,False
73,LEAVE,374,1688295855,2023-07-02 11:04:15,False
94,ACCESS,375,1688295857,2023-07-02 11:04:17,False
94,LEAVE,376,1688295860,2023-07-02 11:04:20,False
